geoid,aland,awater,income,population,kmdensity,centx,centy
420333303001,3987278,99995,26085,1210,303.4649963,-78.74774015,41.12578994
421330102201,802398,0,38987,714,889.8330078,-76.67791815,39.95596898
421330240011,40214820,1414584,28788,1394,34.66379929,-76.29336627,39.74778988
421330229104,8870062,0,36560,3471,391.3160095,-76.64382043,39.92213519
421330202211,11638990,0,37759,2159,185.496994,-76.85529073,40.17520808
421330234001,27507663,67839,35372,1458,53.0033989,-76.61886761,40.03670621
421330205102,20886351,0,29061,1510,72.29599762,-76.94970536,39.90752188
421330237213,29081833,0,26178,1039,35.72679901,-76.45858416,39.92185128
421330221003,339466,0,27026,502,1478.790039,-76.98286178,39.80433497
421330238104,28034179,0,31046,937,33.42350006,-76.72364404,39.751795
421330236013,6058708,0,26935,756,124.7789993,-76.58456998,39.97000869
421330217201,3634566,0,33513,1328,365.381012,-76.79710931,39.89993233
421330238103,22663566,0,28051,1915,84.49680328,-76.69960045,39.79767525
420333303003,563211,0,15507,1758,3121.389893,-78.76371473,41.11649755
421330237214,25779222,0,22145,969,37.58840179,-76.48891563,39.89579618
421330211004,4062123,36121,31535,2023,498.0150146,-76.72340637,39.99996288
421330217111,18026471,23994,30532,1421,78.82849884,-76.93035865,39.84442907
421330209221,9693609,2671,28704,1232,127.0940018,-76.84518404,40.12795697
421330209213,1920684,0,20985,2090,1088.150024,-76.8138682,40.16017371
421330208001,10641057,238308,33550,904,84.95400238,-76.75041003,40.08740305
421330202221,11843907,0,34048,1333,112.5469971,-76.87245145,40.16475255
421330011002,80643,0,10787,576,7142.589844,-76.74097935,39.95426552
420333309003,1136752,89510,21631,890,782.9320068,-78.22929368,40.89023896
420010304002,4997199,12073,24764,1030,206.1150055,-77.30092614,39.92022508
420010304004,20680349,103065,35695,1172,56.67219925,-77.36442864,39.86701839
420010303001,86011340,132720,25473,2235,25.98489952,-77.32343894,39.97494353
420579603001,129879109,0,24991,1251,9.632029533,-78.14052467,39.88103192
420430240012,22153523,112636,30548,1769,79.85189819,-76.68391713,40.2124686
420430254001,1397057,0,21727,1673,1197.52002,-76.95190181,40.54399078
420430243002,1656595,0,46614,1513,913.3189697,-76.65628634,40.27972589
420430251001,70683906,17973,20399,2505,35.4394989,-76.72436686,40.62108851
420430248004,30901011,5235188,28120,1560,50.48379898,-76.96016469,40.42190081
420430225021,4578876,0,32891,1875,409.4890137,-76.77192775,40.33841675
420430247004,174402408,4847099,41126,2677,15.34959984,-76.77920204,40.43559998
420430236022,6772860,6200911,10807,1028,151.7819977,-76.7640569,40.19584236
420430242002,2094788,0,36035,1110,529.8870239,-76.64161237,40.29187507
420430245022,16530059,0,36153,2399,145.1300049,-76.67432292,40.36239817
420430245031,8627281,88992,43819,2965,343.677002,-76.68301714,40.30922428
420430225011,8670530,0,44073,1603,184.8789978,-76.79573417,40.35541508
420430248001,123958043,0,39657,576,4.646729946,-76.71309046,40.52586029
420430251002,48516376,0,23784,1437,29.6189003,-76.82971639,40.60439402
420430246004,28181948,0,41729,1222,43.36109924,-76.75974363,40.38892755
420430222003,244317,0,17135,911,3728.76001,-76.85027157,40.27593949
420430213004,93668,0,7320,1493,15939.2998,-76.86918334,40.2627802
420430211002,6103395,346173,16925,1412,231.3470001,-76.88505474,40.29770891
420430245023,22163913,37278,40848,1744,78.68650055,-76.65803891,40.33726092
420430247001,1108471,12965,27746,960,866.0579834,-76.92962372,40.36833672
420430224011,3909224,0,46276,2251,575.8179932,-76.83479804,40.32400972
420430246005,12074734,3885,33242,3761,311.4769897,-76.72922144,40.32289493
420430224012,3150971,0,48285,1594,505.8760071,-76.81474144,40.33033513
420430226061,853339,0,20164,937,1098.040039,-76.81926547,40.27560665
420430229002,6109018,6343449,21378,3410,558.190979,-76.83544441,40.23195052
420430223003,655374,0,26527,1360,2075.149902,-76.82370496,40.28655097
420990306022,97080559,377393,18464,786,8.096369743,-77.50672207,40.31458689
420010301022,18045310,606778,35608,2250,124.685997,-77.02477407,39.97614816
420010306001,32952651,76041,20307,1793,54.41139984,-77.18201091,39.87050843
420010305001,38446631,206284,24698,2161,56.20780182,-77.21674257,39.93113828
420010312031,45444286,81310,32050,3157,69.46970367,-77.0470342,39.75706161
420010309003,13623728,474218,21321,2304,169.1170044,-77.02984156,39.8462441
420010317002,22480861,24239,26867,1547,68.81410217,-77.40216974,39.76756948
420370505003,5801627,24441,32735,772,133.0659943,-76.25259503,41.07916988
420370506001,658622,3611,21526,826,1254.130005,-76.23972733,41.07055175
420370506002,1075336,1453,18599,873,811.8389893,-76.24500078,41.06172988
420370506003,766215,0,22848,1056,1378.199951,-76.23488535,41.06569584
420370506004,385975,0,15439,1165,3018.330078,-76.23282318,41.0606852
420370506005,210163,0,23857,430,2046.030029,-76.23123644,41.05702071
421330105202,1258118,0,43997,1441,1145.359985,-76.71003872,39.94137824
420710108012,16873741,87598,33964,2759,163.5079956,-76.62294478,40.11521674
420710121031,6245372,25675,32350,2676,428.4769897,-76.29611823,40.18322513
420710009001,58467,0,10242,643,10997.7002,-76.2968156,40.03812536
420710145012,28742446,72353,36266,1953,67.94830322,-76.29297845,39.88319097
420710115022,7766142,31349,21867,2649,341.0960083,-76.46834448,40.03750757
420710117011,2393929,31278,32890,1656,691.75,-76.3512019,40.05805194
420710106004,8249121,24123,29976,2387,289.3640137,-76.57698212,40.16299835
420710105012,34259263,145067,28647,2420,70.63780212,-76.48411523,40.17285372
420710130002,12152212,119620,22618,1863,153.3049927,-76.17088911,40.11264636
420710145013,38151631,9050960,28586,2145,56.22299957,-76.32866281,39.85592656
420710135022,367690,0,34709,492,1338.079956,-76.33218897,40.03354061
420710125023,11738702,147276,28957,1550,132.0420074,-76.12066944,40.19138755
420710103001,28920808,134107,26494,1399,48.37350082,-76.38572924,40.22487862
420710103002,10514086,81995,30498,3317,315.4819946,-76.37404096,40.19105639
420710118041,3146791,16117,44357,2527,803.039978,-76.32104904,40.09970821
420710141013,11705828,64789,24866,2050,175.1260071,-76.08487288,40.02712701
420710125011,17542281,98142,32777,2519,143.595993,-76.09985301,40.25061814
420710110001,1298660,17510,23222,1456,1121.160034,-76.54573601,40.05777143
420710106003,6230984,70585,25936,1409,226.128006,-76.61793796,40.17012493
420710102012,19450033,190865,27982,2339,120.2570038,-76.28425682,40.22272883
420710137023,7005882,49589,32646,1421,202.8300018,-76.39573968,39.99796196
420710143001,8093219,61768,26655,1683,207.9519958,-75.99536399,39.97201195
420710102021,17104749,159669,27019,3276,191.526001,-76.24703134,40.2094593
420710141012,12445580,39125,22452,1331,106.9459991,-76.13555647,40.02742125
420710121043,3639517,90074,32310,981,269.5409851,-76.23479028,40.15440774
420710145022,22643561,6214558,24704,1264,55.82160187,-76.23215577,39.79270878
420710141021,20322405,114350,27773,2092,102.9410019,-76.08024984,39.99025149
420710008001,246464,0,14796,600,2434.429932,-76.28976771,40.03773918
420710103003,16221508,42973,33296,1146,70.64689636,-76.35147372,40.1737746
420710139021,13609000,324353,29203,1801,132.3390045,-76.35176772,39.9592097
420710133011,1918406,61215,32834,1200,625.5189819,-76.25912723,40.02632179
420710011003,114371,0,20465,572,5001.27002,-76.32170102,40.03192592
420710146012,50023056,187867,23525,2571,51.39630127,-76.16994408,39.84781957
420710108022,21101395,9878097,29442,1504,71.27490234,-76.6798022,40.11341067
420710146023,24792182,193328,28026,1958,78.97650146,-76.10769297,39.75884198
420710139013,6491471,14543,33105,1085,167.1419983,-76.30306817,39.96248109
420710121023,7682741,71615,27673,1754,228.3040009,-76.24630079,40.1355975
420710139014,13006060,160130,38980,1035,79.57830048,-76.28501342,39.94710004
420710121041,6186739,22386,26743,3953,638.9470215,-76.28102415,40.17311523
420710106002,16530493,76768,26793,3977,240.5859985,-76.54717237,40.14350563
420710111001,6202100,69764,40846,1178,189.9360046,-76.51418818,40.09473854
420710137022,3097870,30306,23771,1989,642.0540161,-76.37909477,40.01538994
420710115041,14829067,98362,35244,2764,186.3910065,-76.43841866,40.08224861
420710147003,115438,0,10351,1764,15280.90039,-76.29575304,40.03530914
420710127002,24234753,277913,24161,2789,115.0830002,-76.04911268,40.15020018
420710123023,1153212,0,35140,830,719.7290039,-76.19737285,40.18892003
420710132044,6258494,214775,23815,691,110.4100037,-76.16782857,40.01373912
420710127004,13304806,71577,24349,1444,108.5319977,-76.03487029,40.08486146
420710105023,7617040,23545,37387,2646,347.3789978,-76.47791659,40.12116265
420710007002,124021,0,17353,922,7434.220215,-76.29771003,40.0412066
420710101012,18092475,177362,32083,2287,126.4059982,-76.18924807,40.25042511
